Metin;Durum;Alan;Konu
Ekran kalitesi çok düşük;0;Teknoloji;ekran
elbise iyi;1;Moda;kalite
nostaljii...ekrani kucuk ama is goruyor??;1;Teknoloji;ekran
mükemmel ama şarjı çabuk bitiyor;2;Teknoloji;şarj
sesi rahatsiz ediyor ama çocuklar sevdi;2;Teknoloji;ses
"Ürün güzel;bataryası çok gidiyor.";1;Teknoloji;şarj
Tam bir nostalji yaratıyor. Sesi bile yetti bana ??;1;Teknoloji;ses
ürün çom güzel eğlenceli içerisinde 500 tane oyun var fakat şarzı çabuk tükeniyo;1;Teknoloji;şarj
"o kadar çabuk şarjı bitiyo ki , sırf çocuğumla çocukluğumdaki oyunları birlikte oynarız diye almıştım ama kesinlikle bu parayı haketmiyor,biraz oynayınca ekranı karariyo yada soluk bi renk oluyo , keşke hiç açmamış ve kullanmamis olsaydım direk iade ederdim ,çok üzüldüm verdiğim paraya ,hiç tavsiye etmiyorum";0;Teknoloji;şarj
"Bir heves aldık ama çok gereksiz, oynamak keyifli değil. Televizyona bağlanınca biraz daha iyi fakat onun kablosu da kısacık";0;Teknoloji;boyut
sarja taktiktan sonra paus da duran oyun donuyor. kapatip acman gerekiyor. save lemedigi icin sil bastan;0;Teknoloji;ekran
çok birşey beklemeyin ekran görüntüsü iyi değil daha ilk kullanımda bile ekran donmaya başladı vasat bir ürün;0;Teknoloji;ekran
"Urunde ses var ancak ekran goruntusu yoktu. Ne yazik ki pek kaliteli degil, fiyati haketmiyor. Iade ettim.";0;Teknoloji;kalite
Benden bi kaç hafta önce arkadaşım aynısını benden çok daha ucuza almış. Ayrıca daha çok fazla oyun var. Ürünü severek kullanıyorum ama performansı fiyata göre düşük geldi;2;Teknoloji;performans
aldık bi hevesle ama hala duruyor şuan kim bilir nerde ?? ama çok güzel eski oyunlar var sevenler için harika bir ürün;2;Teknoloji;
ürünün görüntüsü güzel ve kalitesiz değildi ancak sadece 1 oyun açıldı gerisi açılmadı bu yüzden iade ettim üzülerek;0;Teknoloji;kalite
"fiyatı 100 kusurken alan tek kişi benimdir, bir de içerisinde 400 kadar çok oyun yok, tuşları işlevsel değil şarjım olmadığında ve yoldaysam vs mario ve pacman oynuyorum sadece, gerekli bir ürün değil";0;Teknoloji;fiyat
çok kalitesiz tuşlarına bile doğru düzgün basılmiyor malzeme kalitesi biraz daha iyi olsa eğlenceli bir ürün olabilirdi bizimki bir haftada bozuldu;0;Teknoloji;kalite
"Bir heves aldık ama çok gereksiz, oynamak keyifli değil. Televizyona bağlanınca biraz daha iyi fakat onun kablosu da kısacık";0;Teknoloji;boyut
Ürün elime çok çabuk ulaştı oyunları çocukluğuma götürdü beni yeğenim için aldım fakat bataryasında şişme yarattı;2;Teknoloji;teslimat
ürün güzel ama ürünün TV bağlantı kablosu çok kötü TV'ye uymuyo ses var görüntü yok ne yaptıysam olmadı;2;Teknoloji;ses
Nostaljik olması güzel ama bir süre sonra sıkıyor başka oyun yüklemesi olsa daha güzel olabilirdi.;2;Teknoloji;
idare eder çocuklar teknoloji sevdiğinden eski oyunlar ve grafiklerde dolayı bunu pek sevmedi heralde alanlar hep 80 90 kuşağı kendileri oynuyor;1;Teknoloji;
Şarjı çok az gidiyor birde oyunlar karışık sırayla popülerlik sırasına göre dizilmesi daha değerli olurdu;1;Teknoloji;şarj
ayyy ben aldıktan snra çok iyi indirimler oldu can sıkıcı ??ama eğlence için alınır telefonla oynamak yerine bu gameboy efsane alinnnn aldirin;1;Teknoloji;fiyat
cok begendim sadece sesi yuksekteyken hafif cizirtili cikiyor ekranida normal boyutu tabi gunumuz ile kiyaslarsak bir tik genis olsa cok guzel olur.ulasimi guzel oldu firma guvenilir alinirmi evet 10 uzerinden 8 olur sevgilerle....;1;Teknoloji;ses
Degerlendirmedigimi farkettim urun guzel keyifli fakat sarj sorunu var saatlerce doldurmama ragmen 5-10 dk ancak oynayabiliyoruz;2;Teknoloji;şarj
"Ürün gayet güzel, nostalji olsun diye aldım, ekranında koruyucu olmadığı için kargoda ekran çizilmiş, oyun oynarken çok rahatsız etmediği için sorun olmadı.";2;Teknoloji;ekran
Hayal kırıklığı ama zaman geçirmek için oynanabilir. Düşündüğüm gibi orijinal oyunları bulamadım içinde.;1;Teknoloji;
"Ürün güzel çocukluğunuza gidiyorsunuz ancak çok kaliteli değil içinde gönderilen bataryanın ömrü az biz yenisiyle değiştirmek zorunda kaldık, evet pilli değil eski telefonlar gibi bataryalı..";2;Teknoloji;kalite
İki adet almıştık ama hemen ses kısmı arıza yaptı çocuğumuz da sesi yok diye oynamak istemiyor;0;Teknoloji;ses
Çok beklentili olmamak lazım. Ama iş görüyor. Ekran biraz daha net olsa daha iyi olurdu;2;Teknoloji;ekran
Ses ve görüntü kalitesi çok iyi değil. Ama kızım yinede çok sevdi.;2;Teknoloji;ses
Ürün içerik ve nostalji açısından çok iyi ancak sık şarj etmek zorunda kalıyoruz :(;2;Teknoloji;şarj
Cocuklugumuzdaki ateride olan oyunların hepsi var bayıldım yalnız batarya cabuk bitiyor;2;Teknoloji;şarj
çocuklar için cokta uygun değil bence 6 yaşındaki kizim beğenmedi ayrıca seside cızırtılı cikiyo;0;oji;şarj
"Ürün, 15 gun kullanımdan sonra batarya Şişti . Sarj yeri bozuldu. Oyunlar guzel ama";0;Teknoloji;şarj
"Oynanıyor, nostaljiyi de yaşatıyor ama gerçekten Çin malı denmesinin hakkını vermiş her şeyi ile.";2;Teknoloji;kalite
resmen çocukluğuma döndüm efsane bir urun sadexe sarji cok cabuk bitiyor;2;Teknoloji;şarj
Plastiği biraz kalitesi gözüküyor ama içerik olarak oyunlar güzel..;2;Teknoloji;kalite
Çok beklentili olmamak lazım. Ama iş görüyor. Ekran biraz daha net olsa daha iyi olurdu;2;Teknoloji;ekran
Ses ve görüntü kalitesi çok iyi değil. Ama kızım yinede çok sevdi.;2;Teknoloji;ses
Ürün içerik ve nostalji açısından çok iyi ancak sık şarj etmek zorunda kalıyoruz :(;2;Teknoloji;şarj
Eskiden oynadığımız atarilerin geliştirilmiş hali oynaması keyifli;1;Teknoloji;
yeni ulasti guzel bi urun birbirine benzer cok oyun var ama tercih edilebilir;1;Teknoloji;
Fiyat performans açısından oldukça iyi çok hafif geldi bana. Mario için değer :);1;Teknoloji;fiyat
ürün güzel geldi fakat TV ye bağlanması için ayrı bir aparatı yokmuydu;2;Teknoloji;
eski oyunların hepsi var neredeyse şarjlı ve görüntüsü renkli;1;Teknoloji;şarj,
Ürün güzel nostaljik oyunlar oyalıyor. Fiyat performans açısından indirimli fiyatı iyi olmuş.;1;Teknoloji;fiyat
satıcıya teşekkür ederim öncelikle 500 oyun var. çok kaliteli durmuyo tabi ama nostalji olması güzel;2;Teknoloji;kalite
Şarjı çabuk bitiyor onun dışında güzel;2,Teknoloji;şarj
Ürun guzel .kablolari biraz kisa .;2T;knoloji;
Beklenyi karşıladı atari oyunları iyi;1;Teknoloji;
Çocukluğumun tüm oyunları mevcut ailece oynuyoruz;1;Teknoloji;
Görüntü kalitesi pek iyi değil;0;Teknoloji;kalite
Çok eğlenceli ama keşke diğer konsoluda olsaydı;2;Teknoloji
hediye olarak almistim tv ye de baglaniyor cok iyi;1;Teknoloji;
çok eğlenceli bir sürü oyun var kardeşim sevdi;1;Teknoloji;
eski bütün oyunlar mevcut;1;Teknoloji;
özlenen oyunlar. 400 tane oyun var içinde;1;Teknoloji;
"sarji cok cabuk bitiyor, KIRMIZI istedigimiz hatta aldigimiz zamanda (kargoya vermeleri bir ömür sürdü) kirmizi daha pahaliyken tercih ettigimiz halde bize MAVI yollamislar.icinde bayagi oyun var o yuzden bir yildiz.";0;Teknoloji;şarj
Ekranı mahvoldu daha ilk haftadan bilemedim o yüzden gereksiz bir harcama oldu öyle kaliteli bir şey beklemeyin;0;Teknoloji;ekran
Ürün elimize geçtikten 2 gün sonra bozuldu. Ses var görüntü yok. Verdiğim paraya tek kelime ile yazık oldu.;0;Teknoloji;ses
Açıp kullansaydım belki güzel yorumlar yapabilirdim ama o kadar çizik geldi ki ekrana anahtar takıp çizsem ancak böyle olur.;0;Teknoloji;ekran
Çokta alınası bir ürün değil. Olmasa da olur Aslında şarj süresi uzun bütün gün takılı kalmasına rağmen dolmadı diyebilirim.;0;Teknoloji;şarj
İçindeki oyunları beğendim tam bi nostalji. Çok hoşuma gitti. Sadece şarjı biraz hızlı mı bitiyo yoksa ben mi çok oynuyorum bilmiyorum:);2;Teknoloji;şarj
urun de oyunlar evet guzel ama malzeme kalitesi kesinlikle 0 sansmidir bilmem tabi ama daha elimize dun ulasti bugun sarj yeri cikti bukadar kotu bi malzeme olamaz ya oglumda cok begenmisti iade etmeyi dusunuyorum kesinlikle bu para etmez;2;Teknoloji;şarj
çok övgüye bakarak sipariş etmiştim ama boyuttan ziyade oyunların çözünürlügü veya tuşların sertliği. beğenmedim. yani bence boşa alıncak bi ürün.;0;Teknoloji;kalite
bir mavi bir kirmizi aldim kirmizinin ekran kalitesi maviden daha zayif mavii renkli olan daha iyi gorunumde;2;Teknoloji;ekran
cok gec geldi neredeyse 10 gunu buldu oyunlar hep ayni yani toplamda 400 oyun yok ses kısılabiliyor cok hafif kaliteli bisi beklenmesin;0;Teknoloji;teslimat
Şarjı hemen bitiyor ve aldıktan 1 hafta sonra hevesiniz kalmıyor. Etrafınızda birilerinde varsa rica edin bir hafta oynayın sonra zaten sıkılacaksınız.;0;Teknoloji;şarj
Okadar pahalı aldıktan sonra fiyatının bu kadar düşmesini ?? ama okadar da kaliteli bir şey değil 100 150 anca oyun vardır.;0;Teknoloji;fiyat
Beğenmedim hediye etmek için almıştım 400 oyunun en fazla 100 tanesi çalışıyor diğerleri birbirinin kopyası ve açılmıyor üstelik açılan oyunlarda oynanmıyor sürekli oyundan atıyor iade ettim;0;Teknoloji;
Ürün güzel fakat oyunların çeşitliliğinden hangi oyun olduğu anlaşılmıyor. 5 yaşındaki Kızıma almıştım ama maalesef oynayamadı;0;Teknoloji;
